,link,valor,condominio,iptu,quartos,tamanho,vagas,banheiros,andar,mobilia,bairro,latitude,longitude,região
65,https://www.quintoandar.com.br/imovel/894257286/comprar/apartamento-2-quartos-jardim-nova-europa-campinas,350.0,380.0,45.0,2,55,1,2,Até 3° andar,Sem mobília,jardim nova europa campinas,-22.9298537,-47.0605045,1
66,https://www.quintoandar.com.br/imovel/894362474/comprar/apartamento-2-quartos-vila-saturnia-campinas,369.0,345.0,86.0,2,57,1,3,Até 3° andar,Sem mobília,vila saturnia campinas,-22.9142886,-47.0806206,2
67,https://www.quintoandar.com.br/imovel/893966999/comprar/apartamento-2-quartos-jardim-nova-europa-campinas,399.0,503.0,80.0,2,98,2,3,Até 3° andar,Sem mobília,jardim nova europa campinas,-22.9340928,-47.0589208,1
68,https://www.quintoandar.com.br/imovel/894451906/comprar/apartamento-3-quartos-sao-bernardo-campinas,255.0,400.0,75.0,3,62,1,2,Até 3° andar,Sem mobília,sao bernardo campinas,-22.9245103,-47.0801453,0
69,https://www.quintoandar.com.br/imovel/892931031/comprar/apartamento-2-quartos-vila-santana-campinas,275.0,640.0,50.0,2,60,1,1,4° a 7° andar,Sem mobília,vila santana campinas,-22.9230025,-47.071945,2
70,https://www.quintoandar.com.br/imovel/894435739/comprar/apartamento-2-quartos-jardim-do-lago-continuacao-campinas,225.0,282.0,14.0,2,44,1,1,Até 3° andar,Sem mobília,jardim do lago continuacao campinas,-22.9539221,-47.0838723,0
71,https://www.quintoandar.com.br/imovel/894448605/comprar/apartamento-3-quartos-bosque-campinas,400.0,700.0,100.0,3,117,1,2,Até 3° andar,Sem mobília,bosque campinas,-22.9088648,-47.044971,2
72,https://www.quintoandar.com.br/imovel/894218970/comprar/apartamento-2-quartos-vila-joao-jorge-campinas,315.0,486.0,75.0,2,89,1,2,-,Sem mobília,vila joao jorge campinas,-22.91469,-47.0624551,2
73,https://www.quintoandar.com.br/imovel/893588109/comprar/apartamento-2-quartos-botafogo-campinas,270.0,550.0,38.0,2,69,1,2,Até 3° andar,Sem mobília,botafogo campinas,-22.9011468,-47.0694083,2
74,https://www.quintoandar.com.br/imovel/894460499/comprar/apartamento-2-quartos-jardim-sao-jose-campinas,210.0,358.0,10.0,2,48,1,1,Até 3° andar,Sem mobília,jardim sao jose campinas,-22.9620778,-47.0942372,0
75,https://www.quintoandar.com.br/imovel/894298133/comprar/apartamento-2-quartos-jardim-santa-eudoxia-campinas,300.0,603.0,75.0,2,59,1,1,Até 3° andar,Sem mobília,jardim santa eudoxia campinas,-22.9290386,-47.0346822,1
76,https://www.quintoandar.com.br/imovel/893515330/comprar/apartamento-2-quartos-centro-campinas,230.0,700.0,125.0,2,60,1,1,4° a 7° andar,Sem mobília,centro campinas,-22.904617,-47.0360041,2
78,https://www.quintoandar.com.br/imovel/894400693/comprar/apartamento-3-quartos-parque-italia-campinas,310.0,517.0,36.0,3,55,1,1,4° a 7° andar,Sem mobília,parque italia campinas,-22.9181763,-47.0683851,2
79,https://www.quintoandar.com.br/imovel/894429649/comprar/apartamento-3-quartos-jardim-garcia-campinas,310.0,490.0,56.0,3,70,1,2,Até 3° andar,Sem mobília,jardim garcia campinas,-22.9062244,-47.1109763,0
