link,valor,condominio,iptu,quartos,tamanho,vagas,banheiros,andar,mobilia,localização
https://www.quintoandar.com.br/imovel/894388344/comprar/apartamento-2-quartos-fundacao-da-casa-popular-campinas,265.0,350.0,12x R$ 9,2.0,43.0,1.0,1.0,Até 3° andar,Sem mobília,"22.9158333,-47.0848041"
https://www.quintoandar.com.br/imovel/894094150/comprar/apartamento-2-quartos-jardim-nova-europa-campinas,280.0,400.0,12x R$ 13,2.0,56.0,1.0,2.0,4° a 7° andar,Sem mobília,"22.9335356,-47.0601105"
https://www.quintoandar.com.br/imovel/892827128/comprar/apartamento-2-quartos-jardim-dom-vieira-campinas,280.0,570.0,12x R$ 23,2.0,50.0,1.0,1.0,12° a 15° andar,Mobiliado,"-22.9199546,-47.068544"
https://www.quintoandar.com.br/imovel/893760077/comprar/apartamento-2-quartos-vila-ipe-campinas,265.0,505.0,12x R$ 0,2.0,50.0,1.0,1.0,Até 3° andar,Mobiliado,"22.9469425,-47.0424161"
https://www.quintoandar.com.br/imovel/894257286/comprar/apartamento-2-quartos-jardim-nova-europa-campinas,350.0,380.0,12x R$ 45,2.0,55.0,1.0,2.0,Até 3° andar,Sem mobília,"22.9298537,-47.0605045"
https://www.quintoandar.com.br/imovel/894362474/comprar/apartamento-2-quartos-vila-saturnia-campinas,369.0,345.0,12x R$ 86,2.0,57.0,1.0,3.0,Até 3° andar,Sem mobília,"22.9142886,-47.0806206"
https://www.quintoandar.com.br/imovel/893966999/comprar/apartamento-2-quartos-jardim-nova-europa-campinas,399.0,503.0,12x R$ 80,2.0,98.0,2.0,3.0,Até 3° andar,Sem mobília,"22.9340928,-47.0589208"
https://www.quintoandar.com.br/imovel/894451906/comprar/apartamento-3-quartos-sao-bernardo-campinas,255.0,400.0,12x R$ 75,3.0,62.0,1.0,2.0,Até 3° andar,Sem mobília,"22.9245103,-47.0801453"
https://www.quintoandar.com.br/imovel/892931031/comprar/apartamento-2-quartos-vila-santana-campinas,275.0,640.0,12x R$ 50,2.0,60.0,1.0,1.0,4° a 7° andar,Sem mobília,"-22.9230025,-47.071945"
https://www.quintoandar.com.br/imovel/894435739/comprar/apartamento-2-quartos-jardim-do-lago-continuacao-campinas,225.0,282.0,12x R$ 14,2.0,44.0,1.0,1.0,Até 3° andar,Sem mobília,"22.9539221,-47.0838723"
