Player_id,Team_id,Name,Role,Kills_avg,Assists_avg,Deaths_avg,CS/min,Gold/min,Damage/min,Vision/min
289,82,Leave,Bot,2.0,4.0,3.4285714285714284,8.63429222443747,376.273141555112,477.49643976075123,1.1577898034747918
290,24,leemas,Bot,6.428571428571429,6.714285714285714,2.4285714285714284,9.173780124667454,481.79140032556296,696.1948624290283,1.1029499344900107
291,21,LeeSA,Jungle,2.1666666666666665,4.916666666666667,3.6666666666666665,5.723702279593534,323.7242515792374,272.51304586652094,1.2414171930788278
292,29,Lehends,Support,0.3888888888888889,9.666666666666666,1.9444444444444444,1.9487763915546965,278.9035508637227,143.73260556621835,3.6420345489443267
293,56,Leleko,Mid,4.0,9.5,0.0,8.832024322270124,424.8188497593131,465.9538890296452,0.9424879655434556
294,69,Levi,Jungle,3.1666666666666665,13.166666666666666,1.9166666666666667,5.92420537897309,366.0488997555003,365.4327628361849,1.6356968215158882
295,92,Leyan,Jungle,5.5,7.5,1.5,9.07177033492823,481.35885167464113,638.1435406698564,1.6076555023923444
296,88,Life,Support,0.875,7.1875,2.125,1.4736697468311017,273.46776132733464,237.69777747243424,3.975816701590483
297,93,Light,Bot,4.363636363636363,4.0,1.8181818181818181,9.031599575406272,450.3649873438418,668.6176206417936,1.4526006368906752
298,46,Likai,Top,3.642857142857143,4.857142857142857,2.5,8.473016854801326,408.84567805783337,627.3650842740085,1.097108396474412
299,1,LJW,Top,2.7777777777777777,2.0,3.888888888888889,6.935866983372922,349.1600086374433,514.5411358237961,0.850788166702656
300,72,Lonely,Top,2.9,5.9,2.3,7.901042477049921,392.71199626575265,418.0581920024882,1.3007624085887621
301,64,Lucid,Jungle,1.2777777777777777,6.388888888888889,1.9444444444444444,5.3923404255319065,311.10638297872293,183.37021276595715,1.5574468085106359
302,6,Luffy,Support,0.55,8.85,5.45,1.1816546762589928,241.56294964028777,194.17985611510792,2.7032374100719423
303,81,Lwx,Bot,2.6666666666666665,5.916666666666667,2.5,8.898055391867983,407.7383618149667,592.1862109605173,1.54625810253388
304,25,Lyonz,Support,0.8888888888888888,9.88888888888889,2.111111111111111,1.3376334658859639,273.51222719729486,215.83993487177898,3.2858440053856053
305,58,Makes,Top,3.6,3.6,4.3,7.7741574177782224,385.59209856430056,560.050911312493,1.0141533448732298
306,72,Malrang,Jungle,3.3,8.6,1.7,5.3835381982262165,342.32768009957886,295.2606192624855,1.7893262797572684
307,49,Maple,Mid,3.0625,6.25,2.75,8.961695976873049,436.41394500464634,570.9219809340266,1.3690332794163205
308,48,Marble,Bot,4.7,6.7,1.4,8.281329923273672,449.4305200341014,600.1125319693106,1.5277067348678628
309,65,Marcus,Top,8.0,8.0,5.0,7.23943661971831,436.84507042253523,883.2112676056338,0.9577464788732394
310,95,Mark,Support,0.6875,7.4375,1.625,1.8830140179932509,258.3351764952036,146.16313477000372,3.7301611023104395
311,12,Markoon,Jungle,0.6666666666666666,5.666666666666667,3.2222222222222223,5.127857747671483,299.4750211685023,209.83234546994146,1.334462320067744
