Player_id,Team_id,Tournament_id,Champion_id,Role,GameId,PlayerWin,Gamelength Number,Kills,Deaths,Assists,Gold,CS,DamageToChampions,VisionScore
3,44,33,108,Top,PCS/2024 Season/Spring Season_Week 6_5_2,Yes,33.4,8,1,9,18024,317,29140,28
3,44,33,50,Top,PCS/2024 Season/Spring Season_Week 6_5_3,No,27.733333333333,2,2,3,10726,234,15140,37
3,44,34,106,Top,PCS/2024 Season/Spring Playoffs_Stage 1 Day 2_2_1,Yes,24.133333333333,5,1,8,13352,249,17807,15
3,44,34,38,Top,PCS/2024 Season/Spring Playoffs_Stage 1 Day 2_2_2,Yes,22.65,3,2,3,9721,180,16010,22
3,44,34,41,Top,PCS/2024 Season/Spring Playoffs_Stage 1 Day 4_1_1,Yes,26.566666666667,1,0,8,13601,281,19076,32
3,44,34,39,Top,PCS/2024 Season/Spring Playoffs_Stage 1 Day 4_1_2,No,29.766666666667,2,2,2,10015,232,21137,43
3,44,34,50,Top,PCS/2024 Season/Spring Playoffs_Stage 1 Day 4_1_3,Yes,33.233333333333,3,2,4,15158,320,17358,39
3,44,34,1,Top,PCS/2024 Season/Spring Playoffs_Stage 2 Round 1_2_1,Yes,37.066666666667,6,2,4,16340,333,29552,46
3,44,34,106,Top,PCS/2024 Season/Spring Playoffs_Stage 2 Round 1_2_2,Yes,27.883333333333,4,1,4,13732,268,19703,40
3,44,34,54,Top,PCS/2024 Season/Spring Playoffs_Stage 2 Round 1_2_3,Yes,29.816666666667,3,3,8,11579,247,21158,20
3,44,34,50,Top,PCS/2024 Season/Spring Playoffs_Stage 2 Round 2_1_1,No,27.116666666667,2,4,2,9096,228,15606,30
3,44,34,50,Top,PCS/2024 Season/Spring Playoffs_Stage 2 Round 2_1_2,No,35.65,2,5,2,13394,300,13796,37
3,44,34,106,Top,PCS/2024 Season/Spring Playoffs_Stage 2 Round 2_1_3,No,23.783333333333,0,3,2,8275,212,11011,27
3,44,34,50,Top,PCS/2024 Season/Spring Playoffs_Stage 2 Round 2_3_1,Yes,35.883333333333,4,0,2,14823,314,18480,56
3,44,34,54,Top,PCS/2024 Season/Spring Playoffs_Stage 2 Round 2_3_2,Yes,30.116666666667,3,2,3,10883,222,17328,42
3,44,34,54,Top,PCS/2024 Season/Spring Playoffs_Stage 2 Round 2_3_3,No,27.766666666667,2,5,1,9897,225,12671,33
3,44,34,1,Top,PCS/2024 Season/Spring Playoffs_Stage 2 Round 2_3_4,Yes,31.333333333333,8,1,4,12964,263,24150,39
3,44,34,46,Top,PCS/2024 Season/Spring Playoffs_Stage 2 Round 3_1_1,No,33.383333333333,2,6,4,12460,294,17098,26
3,44,34,24,Top,PCS/2024 Season/Spring Playoffs_Stage 2 Round 3_1_2,Yes,36.5,7,4,13,13315,226,28360,42
3,44,34,1,Top,PCS/2024 Season/Spring Playoffs_Stage 2 Round 3_1_3,Yes,34.3,9,2,7,15739,275,42446,36
3,44,34,1,Top,PCS/2024 Season/Spring Playoffs_Stage 2 Round 3_1_4,No,34.083333333333,1,5,6,11909,245,26366,27
3,44,34,39,Top,PCS/2024 Season/Spring Playoffs_Stage 2 Round 3_1_5,No,42.75,3,2,2,13666,256,12442,55
4,96,27,73,Bot,LPL/2024 Season/Spring Season_Week 1_15_1,No,48.0,6,3,6,20401,458,29385,141
4,96,27,9,Bot,LPL/2024 Season/Spring Season_Week 1_15_2,No,34.133333333333,1,3,3,13521,339,18237,47
4,96,27,73,Bot,LPL/2024 Season/Spring Season_Week 1_8_1,Yes,31.266666666667,4,0,3,15072,351,14927,46
4,96,27,9,Bot,LPL/2024 Season/Spring Season_Week 1_8_2,No,37.3,1,2,1,15583,399,14387,36
4,96,27,73,Bot,LPL/2024 Season/Spring Season_Week 1_8_3,Yes,37.016666666667,4,0,5,19003,390,29479,71
4,96,27,9,Bot,LPL/2024 Season/Spring Season_Week 2_13_1,No,31.85,4,5,4,12368,284,17294,47
4,96,27,31,Bot,LPL/2024 Season/Spring Season_Week 2_13_2,Yes,36.416666666667,3,2,6,15740,369,14072,34
4,96,27,113,Bot,LPL/2024 Season/Spring Season_Week 2_13_3,No,37.083333333333,0,1,4,11338,158,18430,140
